Number of charging points,Max power KW,Date of usage,Bank Card payment,Other mode of payment,Parking 2 wheels,EF type plug,Type 2 Plug,CCS Combo type socket,Chademo plug,Plug type Other,Type 3 plug,Charging Point Status,Type of implantation,Postal Code,Georaphic Coordinate
"21,00","4,00",2021-04-23,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,75104,"48.860657, 2.311441"
"21,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,75104,"48.846294, 2.374877"
"21,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,75104,"48.839947, 2.397822"
"15,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,16116,"48.832893, 2.363025"
"21,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,75104,"48.83086, 2.325895"
"21,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,75104,"48.846653, 2.258213"
"15,00","22,00",2021-05-05,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,16116,"48.88569, 2.297463"
"21,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,75104,"48.879654, 2.302442"
"21,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,75104,"48.889732, 2.33891"
"15,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,16116,"48.89311, 2.34066"
"15,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Parking public,16116,"48.86424, 2.397724"
"15,00","7,00",2021-05-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,16116,"48.86334, 2.3526978"
"15,00","7,00",2021-06-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,16116,"48.854847, 2.3505278"
"21,00","7,00",2022-06-27,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Parking public,75104,"48.855366, 2.3591938"
